Rank,Municipality,State,2000 Population,1990 Population,Change in Population
222,Daly City city,California,103621,92311,12.30%
223,Clarksville city,Tennessee,103455,75494,37.00%
224,Norwalk city CA,California,103298,94279,9.60%
225,Gary city,Indiana,102746,116646,-11.90%
226,Berkeley city,California,102743,102724,0.00%
227,Santa Clara city,California,102361,93613,9.30%
228,Green Bay city,Wisconsin,102313,96466,6.10%
229,Cape Coral city,Florida,102286,74991,36.40%
230,Arvada city,Colorado,102153,89235,14.50%
231,Pueblo city,Colorado,102121,98640,3.50%
232,Cambridge city,Massachusetts,101355,95802,5.80%
233,Westminster city CO,Colorado,100940,74625,35.30%
234,San Buenaventura (Ventura) city,California,100916,92575,9.00%
235,Portsmouth city,Virginia,100565,103907,-3.20%
236,Livonia city,Michigan,100545,100850,-0.30%
237,Burbank city,California,100316,93643,7.10%
238,Athens city,Georgia,100266,45734,119.20%
239,Richmond city CA,California,99216,87425,13.50%
240,Davenport city,Iowa,98359,95333,3.20%
241,Dearborn city,Michigan,97775,89286,9.50%
242,Macon city,Georgia,97255,106612,-8.80%
243,Charleston city SC,South Carolina,96650,80414,20.20%
244,South Gate city,California,96375,86284,11.70%
245,Fairfield city,California,96178,77211,24.60%
246,Norman city,Oklahoma,95694,80071,19.50%
247,Albany NY city,New York,95658,101082,-5.40%
248,Gainesville city,Florida,95447,84770,12.60%
249,Midland city,Texas,94996,89443,6.20%
250,Roanoke city,Virginia,94911,96397,-1.50%
251,El Cajon city,California,94869,88693,7.00%
252,Boulder city,Colorado,94673,83312,13.60%
253,Cary town,North Carolina,94536,43858,115.60%
254,Elgin city,Illinois,94487,77010,22.70%
255,Brockton city,Massachusetts,94304,92788,1.60%
256,New Bedford city,Massachusetts,93768,99922,-6.20%
257,Compton city,California,93493,90454,3.40%
258,Mission Viejo city,California,93102,72820,27.90%
259,Olathe city,Kansas,92962,63352,46.70%
260,Lawton city,Oklahoma,92757,80561,15.10%
261,San Mateo city,California,92482,85486,8.20%
262,Santa Barbara city,California,92325,85571,7.90%
263,Fall River city,Massachusetts,91938,92703,-0.80%
264,Rialto city,California,91873,72388,26.90%
265,Richardson city,Texas,91802,74840,22.70%
266,Visalia city,California,91565,75636,21.10%
267,Everett city,Washington,91488,69961,30.80%
268,Odessa city,Texas,90943,89699,1.40%
269,Fargo city,North Dakota,90599,74111,22.20%
270,Antioch city,California,90532,62195,45.60%
271,Kenosha city,Wisconsin,90352,80352,12.40%
272,Gresham city,Oregon,90205,68235,32.20%
273,Vista city,California,89857,71872,25.00%
274,Billings city,Montana,89847,81151,10.70%
275,Carson city,California,89730,83995,6.80%
276,Lynn city,Massachusetts,89050,81245,9.60%
277,Port St. Lucie city,Florida,88769,55866,58.90%
278,Vacaville city,California,88625,71479,24.00%
279,San Angelo city,Texas,88439,84474,4.70%
280,Sandy city,Utah,88418,75058,17.80%
281,Westminster city CA,California,88207,78118,12.90%
282,Quincy city,Massachusetts,88025,84985,3.60%
283,Miami Beach city,Florida,87933,92639,-5.10%
284,Waukegan city,Illinois,87901,69392,26.70%
285,Duluth city,Minnesota,86918,85493,1.70%
286,Killeen city,Texas,86911,63535,36.80%
287,Nashua city,New Hampshire,86605,79662,8.70%
288,Westland city,Michigan,86602,84724,2.20%
289,High Point city,North Carolina,85839,69496,23.50%
290,Warwick city,Rhode Island,85808,85427,0.40%
291,Rochester city MN,Minnesota,85806,70745,21.30%
292,Alhambra city,California,85804,82106,4.50%
293,Sunrise city,Florida,85779,64407,33.20%
294,Parma city,Ohio,85655,87876,-2.50%
295,Cicero town,Illinois,85616,67436,27.00%
296,Trenton city,New Jersey,85403,88675,-3.70%
297,Bloomington MN city,Minnesota,85172,86335,-1.30%
298,Citrus Heights city,California,85071,107439,-20.80%
299,Sioux City city,Iowa,85013,80505,5.60%
300,Columbia city MO,Missouri,84531,69101,22.30%
301,Orem city,Utah,84324,67561,24.80%
302,Hawthorne city,California,84112,71349,17.90%
303,Santa Monica city,California,84084,86905,-3.20%
304,Newton city,Massachusetts,83829,82585,1.50%
305,Whittier city,California,83680,77671,7.70%
306,Tyler city,Texas,83650,75450,10.90%
307,Federal Way city,Washington,83259,67554,23.20%
308,Hammond city,Indiana,83048,84236,-1.40%
309,Norwalk city CT,Connecticut,82951,78331,5.90%
310,Plantation city,Florida,82934,66692,24.40%
311,Thornton city,Colorado,82384,55031,49.70%
312,Farmington Hills city,Michigan,82111,74652,10.00%
313,West Palm Beach city,Florida,82103,67643,21.40%
314,Youngstown city,Ohio,82026,95732,-14.30%
315,Decatur city IL,Illinois,81860,83885,-2.40%
316,Racine city,Wisconsin,81855,84298,-2.90%
317,Reading city,Pennsylvania,81207,78380,3.60%
318,Troy city,Michigan,80959,72884,11.10%
319,Redding city,California,80865,66462,21.70%
320,Canton city,Ohio,80806,84161,-4.00%
321,Denton city,Texas,80537,66270,21.50%
322,Fort Smith city,Arkansas,80268,72798,10.30%
323,Lawrence city KS,Kansas,80098,65608,22.10%
324,Roseville city,California,79921,44685,78.90%
325,Camden city,New Jersey,79904,87492,-8.70%
326,North Charleston city,South Carolina,79641,70218,13.40%
327,Kent city,Washington,79524,37960,109.50%
328,San Leandro city,California,79452,68223,16.50%
