Rank,Author,Total New Downloads
281,"Kitces, Michael E.",4166
282,"van Vliet, Pim",4157
283,"Dixon, Martin J.",4153
284,"Goyal, Vidhan K.",4151
285,"Smith, Murphy",4141
286,"Yoo, Christopher S.",4115
287,"Elliott, Mark C.",4105
288,"Pastor, Lubos",4104
289,"Jacobsen, Ben",4097
290,"Roe, Mark J.",4085
291,"Finke, Michael S.",4076
292,"Black, Fischer",4075
293,"Ross, Jeanne W.",4068
294,Nikolaev,4053
295,"Chafetz, Josh",4053
296,"Solum, Lawrence B.",4045
297,"Doeswijk, Ronald Q.",4044
298,"Sornette, Didier",4042
299,"Mateus, Cesario",4041
300,"Edelman, Benjamin G.",4040
301,"Perlingeiro, Ricardo",4031
302,"Anderson, Kenneth",4026
303,"Donohue, John J.",4023
304,"Christoffersen, Peter",4013
305,"Seru, Amit",4010
306,"d'Aspremont, Jean",4002
307,"Tayan, Brian",3995
308,"Adams, Renee B.",3994
309,"Siems, Mathias M.",3994
310,"Clark, Gordon L.",3981
311,"Dharmapala, Dhammika",3979
312,"Michaely, Roni",3974
313,"Settlements, Bank for International",3971
314,"Block, Jorn H.",3965
315,"Koufopoulos, Kostas",3960
316,"Cortesi, Sandra C.",3944
317,"Gray, Wesley R.",3935
318,"Woods, Cathal",3930
319,"Okoye, Emma I.",3922
320,"Williams, Joseph J.",3908
321,"Tham, Joseph",3897
322,"Crane, Andrew",3895
323,"Loewenstein, George F.",3893
324,"Souza, Pedro H.",3873
325,"Ginsburg, Tom",3870
326,"Ferran, Eilis",3866
327,"Belleflamme, Paul",3864
328,"Zwolinski, Matt",3861
329,"Cooper, Tony",3861
330,"Matten, Dirk",3861
331,"Petit, Nicolas",3854
332,"Whitehill, Jacob",3844
333,"Srinivasan, Suraj",3805
334,"Borwein, Jonathan M.",3801
335,"Coleman, Cody A.",3801
336,"Ferreira, Miguel A.",3794
337,"Munshi, Jamal H.",3785
338,"Gerakos, Joseph J.",3784
339,"Feldman, Robin",3784
340,"Damodaran, Aswath",3782
341,"Gordon, Jeffrey N.",3782
342,"Ault, Hugh J.",3782
343,"Braverman, Irus",3778
